Months,CPI,AverageMonthlyIndustrialSalary,AverageMonthlyIndustrialOccupation,ProductSales,ProductPrices,InflationWithoutProductsAndEnergy,UnemploymentRate
0,7.399,9.929451014,-2.538071066,10.7,4.7,6.6,15.7
1,6.629,7.725974768,-2.389014296,0,4.1,6.1,15.9
2,6.214,7.869099305,-2.599849284,3.3,3.8,5.8,16.1
3,6.638,5.238843875,-2.735332956,3.8,3.4,6,16
4,6.943,8.828234253,-2.966742252,-0.4,2.3,6.5,15.9
5,6.225,4.8510522,-3.282465816,-4.7,0.9,6.4,15.9
6,5.179,8.005207438,-3.544461897,1.5,0.6,5.8,16
7,5.084,6.885826138,-3.737431227,0.9,1,5.6,16.2
8,4.331,6.188736347,-3.984819734,-3.7,0.7,4.9,16.3
9,4.001,7.834180815,-4.366456212,1.8,-0.5,4.7,16.4
10,3.605,6.573167627,-4.326281685,-1,-1,4.5,16.8
11,3.551,5.275900805,-4.750913637,-4.8,-0.4,4.3,17.5
12,3.415,5.725152105,-4.706790123,-1.4,0,3.9,18.1
13,3.467,5.505299025,-4.972056273,0.2,0.2,4,18.2
14,3.261,4.795428848,-4.758220503,-3.1,0.3,3.7,18.2
15,3.012,2.339638252,-4.829325058,0.3,0.4,3.6,17.9
16,1.868,4.224290944,-4.654333009,-4.2,0.5,2.7,17.3
17,1.559,3.891660926,-4.354618239,2.1,1.2,2.6,17.4
18,1.295,4.111894474,-4.198548166,5.7,1.7,2.4,17.5
19,1.233,2.750854083,-3.902246748,-1.1,1.3,2.3,17.5
20,1.299,3.804649275,-3.873517787,6.6,1.1,2.4,17.6
21,1.1,0.495080278,-3.44964314,3.2,1.7,1.9,17.5
22,0.9,1.780269798,-3.147410359,3.1,1.7,1.7,17.8
23,0.8,2.356402909,-2.2819063,5.2,2.2,1.5,18
24,0.5,2.685395107,-4.129554656,5.827253625,2.5,1.1,20.6
25,0.5,2.119553797,-3.853173798,7.263546915,3.9,0.9,20.7
26,0.6,0.682890875,-3.980503656,8.797108075,3.6,0.9,20.6
27,0.3,4.232298053,-3.688608111,10.98698857,2.7,0.7,20.3
28,0.4,-0.019070174,-3.533496732,13.36954402,2,0.7,19.8
29,0.8,3.089088506,-3.593303389,9.576642638,2,0.6,19.7
30,0.8,2.350910918,-3.2,12.00642699,1.9,0.5,19.6
31,0.7,1.88039348,-3.240360952,7.392342382,1.8,0.5,19.5
32,0.9,2.223795788,-3.145559211,12.65536407,2.1,0.5,19.4
33,1.3,2.994287128,-3.18275154,14.69683048,2.7,0.8,19.3
34,1.6,4.102498453,-3.311394488,12.86082706,3.7,0.9,19.5
35,1.7,5.125552339,-3.471791692,17.2361563,3.7,1,20
36,1.6,3.525913528,-1.414695946,18.43641598,4.1,0.8,20.6
37,1.572,6.34432844,-1.476481755,22.44046444,4.2,0.7,20.6
38,1.665,7.04322248,-1.290186125,28.68159956,4.9,0.7,20.4
39,2.234,4.585293966,-1.079136691,30.00201067,7.6,0.8,19.9
40,3.373,4.398509581,-0.889265297,22.19464947,9.6,1.7,19.5
41,4.405,4.520208605,-0.720033884,25.48654763,9.1,1.9,19.4
42,4.612,3.645777753,-0.720033884,15.10790238,8.6,2.2,19.3
43,4.615,5.123132963,-0.784230606,23.29541846,8.5,2.2,19.1
44,4.412,3.675136309,-0.551899809,17.58075903,7.9,2.3,18.9
